timestamp,subject,user,focus,origin,o_x,o_y,o_z,direction,d_x,d_y,d_z
36:55.0,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-0.9984912,-0.003897877,0.8148142,"Direction(x,y,z):",0.6735255,-0.3582468,-0.6465467
36:55.0,LOCATION,user_Xoraegore,Trash708,"ORIGIN(x,y,z):",-0.9985723,-0.004036332,0.8141549,"Direction(x,y,z):",0.6726459,-0.358124,-0.6475296
36:55.8,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-0.9963459,-0.006025014,0.8115327,"Direction(x,y,z):",0.6799971,-0.3685896,-0.6338341
36:55.9,LOCATION,user_Vokelaede,wall 4,"ORIGIN(x,y,z):",0.4389823,0.03516031,1.151904,"Direction(x,y,z):",-0.2385457,-0.3134159,-0.9191662
36:56.0,LOCATION,user_Xoraegore,Trash708,"ORIGIN(x,y,z):",-0.9881558,-0.01526838,0.806655,"Direction(x,y,z):",0.6705077,-0.4024979,-0.6232294
36:56.0,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-0.9876361,-0.01539743,0.8057917,"Direction(x,y,z):",0.6739865,-0.3990763,-0.6216754
36:56.2,LOCATION,user_Vokelaede,Trash667,"ORIGIN(x,y,z):",0.4415571,0.03491061,1.151228,"Direction(x,y,z):",-0.2460285,-0.3154912,-0.9164799
36:56.2,LOCATION,user_Vokelaede,wall 4,"ORIGIN(x,y,z):",0.4418287,0.03488052,1.151183,"Direction(x,y,z):",-0.2468498,-0.3158162,-0.9161471
36:56.2,LOCATION,user_Vokelaede,Trash667,"ORIGIN(x,y,z):",0.4421091,0.03485183,1.151145,"Direction(x,y,z):",-0.2476117,-0.3161809,-0.9158155
36:56.4,LOCATION,user_Vokelaede,wall 4,"ORIGIN(x,y,z):",0.4441206,0.03482897,1.15128,"Direction(x,y,z):",-0.2447638,-0.3164957,-0.9164721
36:56.4,LOCATION,user_Xoraegore,Trash708,"ORIGIN(x,y,z):",-0.9802772,-0.01243104,0.7894626,"Direction(x,y,z):",0.7194859,-0.3914731,-0.5736627
