timestamp,subject,user,focus,origin,o_x,o_y,o_z,direction,d_x,d_y,d_z
41:24.2,LOCATION,user_Mileranu,floor,"ORIGIN(x,y,z):",-2.271306,-0.04295229,1.093105,"Direction(x,y,z):",0.83917,-0.3822122,0.3869207
41:24.3,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-2.262494,-0.03209291,1.080237,"Direction(x,y,z):",0.87604,-0.282364,0.3909278
41:24.7,LOCATION,user_Lufohaelae,paper715,"ORIGIN(x,y,z):",1.991098,0.06276834,1.159415,"Direction(x,y,z):",-0.7706161,-0.2806374,-0.5721832
41:25.1,LOCATION,user_Lufohaelae,glass717,"ORIGIN(x,y,z):",1.990577,0.06246519,1.159001,"Direction(x,y,z):",-0.7723209,-0.2848472,-0.5677873
41:25.4,LOCATION,user_Mileranu,paper714,"ORIGIN(x,y,z):",-1.903978,-0.02166823,0.7785259,"Direction(x,y,z):",0.9720455,-0.2171836,0.08921241
41:25.4,LOCATION,user_Mileranu,Trash762,"ORIGIN(x,y,z):",-1.887485,-0.02178204,0.7677349,"Direction(x,y,z):",0.9754985,-0.2178983,0.03037923
41:25.7,LOCATION,user_Mileranu,Danger765,"ORIGIN(x,y,z):",-1.843426,-0.02487289,0.7609954,"Direction(x,y,z):",0.9689372,-0.2342367,-0.07933377
41:25.9,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-1.804481,-0.02603911,0.7878164,"Direction(x,y,z):",0.9567155,-0.2403402,-0.1641102
41:26.0,LOCATION,user_Mileranu,metal,"ORIGIN(x,y,z):",-1.780028,-0.02459087,0.8158453,"Direction(x,y,z):",0.9492666,-0.2302703,-0.2141692
41:26.2,LOCATION,user_Mileranu,glass717,"ORIGIN(x,y,z):",-1.7441,-0.0252706,0.8625996,"Direction(x,y,z):",0.9397351,-0.2292013,-0.2537019
41:26.4,LOCATION,user_Mileranu,paper715,"ORIGIN(x,y,z):",-1.714052,-0.02659766,0.9009519,"Direction(x,y,z):",0.930505,-0.2291221,-0.2857684
41:26.5,LOCATION,user_Lufohaelae,wall 4,"ORIGIN(x,y,z):",1.993834,0.06109096,1.153104,"Direction(x,y,z):",-0.7764785,-0.2817187,-0.5636628
41:26.7,Object,SortedObject,124,glass717,,,,,,,
41:26.7,LOCATION,user_Mileranu,metal,"ORIGIN(x,y,z):",-1.682968,-0.02742206,0.9362126,"Direction(x,y,z):",0.9349282,-0.2372018,-0.2639024
41:26.8,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-1.678882,-0.02846494,0.941035,"Direction(x,y,z):",0.9356521,-0.2445402,-0.2544708
41:27.3,LOCATION,user_Mileranu,metal,"ORIGIN(x,y,z):",-1.677773,-0.03049855,0.959171,"Direction(x,y,z):",0.9414684,-0.2398919,-0.2368319
