"contrast","estimate","SE","df","t.ratio","p.value","question"
"sound1 visualization2 - sound1 visualization3",-3.85,6.57280073963095,75.9999999999999,-0.585747256384372,0.991702572728232,"Q3_8"
"sound0 visualization3 - sound1 visualization3",-3.7,11.2208884239236,61.1922237493945,-0.329742161245573,0.999456881360652,"Q3_8"
"sound0 visualization1 - sound1 visualization1",-1.10000000000004,11.2259022533005,60.7098100458299,-0.0979876695146374,0.999998664000562,"Q3_9"
"sound0 visualization1 - sound0 visualization2",0.95,6.52175837190539,75.9999999999995,0.145666236898999,0.99999048066918,"Q3_9"
"sound0 visualization1 - sound1 visualization2",1.24999999999996,11.2259022533005,60.7098100458297,0.111349624448444,0.999997472662634,"Q3_9"
"sound0 visualization1 - sound0 visualization3",-1.85,6.52175837190539,75.9999999999999,-0.283665829750682,0.999742556738799,"Q3_9"
"sound0 visualization1 - sound1 visualization3",-3.15000000000004,11.2259022533005,60.7098100458297,-0.280601053610092,0.999753158962857,"Q3_9"
"sound1 visualization1 - sound0 visualization2",2.05000000000004,11.2259022533005,60.7098100458297,0.182613384095458,0.999970391002375,"Q3_9"
"sound1 visualization1 - sound1 visualization2",2.35,6.52175837190539,75.9999999999995,0.36033227022384,0.999172846214373,"Q3_9"
"sound1 visualization1 - sound0 visualization3",-0.749999999999962,11.2259022533005,60.7098100458297,-0.0668097746690653,0.999999802535043,"Q3_9"
"sound1 visualization1 - sound1 visualization3",-2.05,6.52175837190539,75.9999999999999,-0.314332405939945,0.999574485302726,"Q3_9"
"sound0 visualization2 - sound1 visualization2",0.299999999999962,11.2259022533005,60.7098100458297,0.0267239098676241,0.9999999979734,"Q3_9"
"sound0 visualization2 - sound0 visualization3",-2.8,6.52175837190539,75.9999999999999,-0.429332066649681,0.998075917076367,"Q3_9"
"sound0 visualization2 - sound1 visualization3",-4.10000000000004,11.2259022533005,60.7098100458297,-0.365226768190912,0.999107402870302,"Q3_9"
"sound1 visualization2 - sound0 visualization3",-3.09999999999996,11.2259022533005,60.7098100458297,-0.276147068632147,0.999771799888915,"Q3_9"
"sound1 visualization2 - sound1 visualization3",-4.4,6.52175837190539,75.9999999999999,-0.674664676163785,0.98422255704217,"Q3_9"
"sound0 visualization3 - sound1 visualization3",-1.30000000000004,11.2259022533005,60.7098100458299,-0.115803609426389,0.999996926975448,"Q3_9"
"sound0 visualization1 - sound1 visualization1",2.44999999999998,11.1933525197046,56.8041368819842,0.218879910704773,0.999927104250334,"Q3_10"
"sound0 visualization1 - sound0 visualization2",-1.85,6.03257603574146,75.9999999999999,-0.306668326936822,0.999622839122637,"Q3_10"
"sound0 visualization1 - sound1 visualization2",4.14999999999998,11.1933525197046,56.8041368819842,0.370755767112167,0.999036580564607,"Q3_10"
"sound0 visualization1 - sound0 visualization3",0.6,6.03257603574146,75.9999999999999,0.0994599979254557,0.999998577793693,"Q3_10"
"sound0 visualization1 - sound1 visualization3",-5.35000000000002,11.1933525197046,56.8041368819842,-0.477962253987978,0.996750020801219,"Q3_10"
"sound1 visualization1 - sound0 visualization2",-4.29999999999998,11.1933525197046,56.8041368819842,-0.384156577971643,0.998856336758327,"Q3_10"
"sound1 visualization1 - sound1 visualization2",1.7,6.03257603574146,75.9999999999999,0.281803327455458,0.999750743859974,"Q3_10"
"sound1 visualization1 - sound0 visualization3",-1.84999999999998,11.1933525197046,56.8041368819842,-0.165276667266869,0.999981881748225,"Q3_10"
"sound1 visualization1 - sound1 visualization3",-7.8,6.03257603574146,75.9999999999999,-1.29297997303092,0.787954756811343,"Q3_10"
